"business_id","Score","date","type"
33096,"94","20130108","routine"
33110,"94","20130109","routine"
33124,"92","20130122","routine"
33145,"94","20130308","routine"
3315,"89","20130307","routine"
33160,"100","20130215","routine"
3317,"79","20130104","routine"
33173,"100","20130415","routine"
3319,"79","20130122","routine"
33190,"92","20130130","routine"
33198,"73","20130308","routine"
332,"100","20130222","routine"
33222,"100","20130115","routine"
3324,"90","20130123","routine"
3325,"94","20130111","routine"
33272,"100","20130405","routine"
33273,"96","20130416","routine"
3328,"92","20130306","routine"
3331,"83","20130225","routine"
33315,"96","20130206","routine"
33348,"100","20130221","routine"
3335,"92","20130213","routine"
33387,"90","20130219","routine"
33388,"82","20130124","routine"
33413,"100","20130221","routine"
33419,"90","20130211","routine"
3343,"92","20130419","routine"
33436,"73","20130226","routine"
33442,"86","20130205","routine"
33468,"88","20130416","routine"
33484,"80","20130314","routine"
3350,"100","20130111","routine"
33500,"96","20130206","routine"
33507,"94","20130501","routine"
33528,"94","20130430","routine"
33546,"98","20130116","routine"
33564,"98","20130425","routine"
33579,"94","20130116","routine"
33591,"90","20130318","routine"
33712,"70","20130306","routine"
3373,"85","20130204","routine"
33730,"90","20130227","routine"
33731,"91","20130128","routine"
3374,"94","20130314","routine"
33747,"88","20130319","routine"
33748,"70","20130422","routine"
3375,"88","20130319","routine"
33802,"75","20130327","routine"
33831,"86","20130312","routine"
33837,"98","20130201","routine"
3384,"85","20130212","routine"
33851,"94","20130110","routine"
3388,"78","20130325","routine"
33891,"87","20130225","routine"
33911,"87","20130321","routine"
3392,"100","20130222","routine"
3394,"86","20130208","routine"
33940,"98","20130204","routine"
33965,"100","20130424","routine"
3397,"88","20130131","routine"
33980,"100","20130501","routine"
33983,"69","20130410","routine"
33997,"100","20130131","routine"
34005,"85","20130425","routine"
3403,"98","20130130","routine"
34033,"94","20130410","routine"
3405,"88","20130111","routine"
34066,"81","20130502","routine"
34102,"84","20130314","routine"
34126,"86","20130207","routine"
34134,"75","20130304","routine"
34142,"76","20130118","routine"
34186,"98","20130328","routine"
34201,"96","20130219","routine"
34244,"100","20130225","routine"
3425,"98","20130319","routine"
3428,"96","20130211","routine"
3429,"80","20130207","routine"
3433,"90","20130116","routine"
34331,"100","20130326","routine"
34332,"100","20130403","routine"
34388,"96","20130115","routine"
3439,"91","20130419","routine"
34395,"96","20130206","routine"
3440,"90","20130327","routine"
34423,"98","20130207","routine"
34425,"100","20130204","routine"
34451,"94","20130308","routine"
34457,"67","20130328","routine"
3449,"79","20130305","routine"
3459,"88","20130221","routine"
34613,"90","20130327","routine"
34623,"86","20130212","routine"
34635,"94","20130115","routine"
34649,"96","20130502","routine"
34676,"77","20130423","routine"
3468,"77","20130422","routine"
34685,"90","20130509","routine"
34710,"96","20130207","routine"
34728,"91","20130325","routine"
34743,"89","20130409","routine"
34746,"83","20130114","routine"
3475,"96","20130129","routine"
3477,"93","20130114","routine"
3478,"100","20130509","routine"
34787,"100","20130423","routine"
3480,"71","20130117","routine"
3481,"84","20130319","routine"
34814,"100","20130109","routine"
3482,"94","20130205","routine"
34839,"78","20130417","routine"
3484,"94","20130321","routine"
34865,"98","20130402","routine"
34869,"89","20130214","routine"
34885,"85","20130321","routine"
34910,"90","20130501","routine"
3492,"92","20130417","routine"
34936,"100","20130319","routine"
34942,"96","20130204","routine"
34958,"81","20130108","routine"
34969,"86","20130425","routine"
34992,"92","20130325","routine"
34995,"94","20130403","routine"
35026,"62","20130423","routine"
3504,"91","20130404","routine"
3510,"72","20130108","routine"
3512,"72","20130305","routine"
3515,"96","20130123","routine"
35157,"94","20130206","routine"
3518,"96","20130131","routine"
3519,"85","20130131","routine"
3520,"90","20130110","routine"
3521,"89","20130124","routine"
35220,"92","20130305","routine"
35221,"88","20130110","routine"
3528,"86","20130131","routine"
3529,"87","20130108","routine"
35317,"98","20130204","routine"
35340,"100","20130415","routine"
3539,"84","20130308","routine"
3540,"83","20130110","routine"
35418,"98","20130308","routine"
35425,"68","20130327","routine"
35447,"92","20130114","routine"
3547,"94","20130404","routine"
35471,"96","20130424","routine"
3549,"80","20130123","routine"
35502,"92","20130509","routine"
35503,"100","20130403","routine"
35527,"63","20130410","routine"
3557,"92","20130227","routine"
35592,"78","20130321","routine"
3561,"100","20130228","routine"
3562,"94","20130424","routine"
35659,"100","20130131","routine"
35660,"89","20130123","routine"
35690,"60","20130410","routine"
3575,"81","20130110","routine"
3578,"80","20130114","routine"
35784,"85","20130220","routine"
35786,"94","20130322","routine"
35790,"100","20130329","routine"
35805,"92","20130306","routine"
35828,"89","20130415","routine"
35839,"100","20130321","routine"
35852,"92","20130417","routine"
3586,"100","20130222","routine"
35868,"78","20130422","routine"
35875,"87","20130108","routine"
35882,"98","20130422","routine"
35884,"83","20130424","routine"
3591,"84","20130227","routine"
3594,"86","20130312","routine"
35949,"94","20130219","routine"
3595,"100","20130415","routine"
35963,"75","20130226","routine"
35975,"89","20130114","routine"
35988,"92","20130116","routine"
35989,"67","20130501","routine"
36001,"85","20130206","routine"
36014,"96","20130214","routine"
36020,"98","20130226","routine"
36048,"100","20130308","routine"
3605,"100","20130501","routine"
3607,"100","20130325","routine"
36109,"92","20130415","routine"
3611,"91","20130419","routine"
3612,"87","20130214","routine"
36160,"98","20130328","routine"
36169,"72","20130205","routine"
36177,"100","20130109","routine"
36178,"100","20130319","routine"
36179,"80","20130405","routine"
3619,"75","20130311","routine"
36201,"91","20130508","routine"
36205,"100","20130220","routine"
36208,"100","20130114","routine"
3621,"94","20130319","routine"
36213,"82","20130314","routine"
36214,"98","20130315","routine"
36215,"96","20130111","routine"
36216,"94","20130111","routine"
36274,"94","20130115","routine"
36277,"98","20130130","routine"
3630,"94","20130222","routine"
3633,"87","20130213","routine"
36348,"94","20130103","routine"
36367,"85","20130506","routine"
36387,"73","20130509","routine"
36396,"100","20130123","routine"
3640,"88","20130507","routine"
3642,"100","20130116","routine"
3643,"96","20130510","routine"
36452,"94","20130327","routine"
3646,"100","20130131","routine"
36474,"88","20130215","routine"
36519,"85","20130131","routine"
36534,"91","20130215","routine"
3655,"90","20130108","routine"
36578,"91","20130308","routine"
36602,"85","20130104","routine"
36608,"98","20130313","routine"
3661,"93","20130425","routine"
36620,"83","20130114","routine"
3664,"96","20130329","routine"
